user_id,event_type,amount,timestamp
b78ce21a,add_to_cart,0.0,2026-05-16 16:07:56
bc3c21a2,login,0.0,2026-05-16 16:07:57
b78ce21a,login,0.0,2026-05-16 16:07:58
c9932758,purchase,789.06,2026-05-16 16:08:00
ae6d0e73,login,0.0,2026-05-16 16:08:02
75fa1c84,product_view,0.0,2026-05-16 16:08:03
4e483291,product_view,0.0,2026-05-16 16:08:04
bd5e7e70,login,0.0,2026-05-16 16:08:04
812112b6,login,0.0,2026-05-16 16:08:06
cdae5f18,login,0.0,2026-05-16 16:08:07
d3e54d9a,add_to_cart,0.0,2026-05-16 16:08:08
2e173ea7,login,0.0,2026-05-16 16:08:10
4efe1c45,login,0.0,2026-05-16 16:08:11
4070888b,add_to_cart,0.0,2026-05-16 16:08:12
23f5a421,login,0.0,2026-05-16 16:08:13
0094fedf,login,0.0,2026-05-16 16:08:15
67c5f5d7,purchase,468.39,2026-05-16 16:08:16
5122f12f,add_to_cart,0.0,2026-05-16 16:08:17
0372340d,purchase,195.21,2026-05-16 16:08:18
6f47f91d,product_view,0.0,2026-05-16 16:08:19
7257b064,product_view,0.0,2026-05-16 16:08:20
0f35514e,add_to_cart,0.0,2026-05-16 16:08:20
0f35514e,login,0.0,2026-05-16 16:08:22
9762685a,login,0.0,2026-05-16 16:08:23
944d0690,product_view,0.0,2026-05-16 16:08:24
c305a6c9,login,0.0,2026-05-16 16:08:25
2e173ea7,add_to_cart,0.0,2026-05-16 16:08:26
62c8081c,purchase,1438.31,2026-05-16 16:08:28
1ea89a19,product_view,0.0,2026-05-16 16:08:29
28e0dc54,product_view,0.0,2026-05-16 16:08:31
8c9d2daf,login,0.0,2026-05-16 16:08:32
54b96280,product_view,0.0,2026-05-16 16:08:32
32702a03,purchase,819.69,2026-05-16 16:08:34
e84be655,product_view,0.0,2026-05-16 16:08:36
decd42f9,product_view,0.0,2026-05-16 16:08:38
82c7424f,add_to_cart,0.0,2026-05-16 16:08:39
0ca2163f,add_to_cart,0.0,2026-05-16 16:08:41
1bfdc032,product_view,0.0,2026-05-16 16:08:42
6d0b56dc,product_view,0.0,2026-05-16 16:08:43
e8308822,purchase,1433.82,2026-05-16 16:08:44
e7b21096,login,0.0,2026-05-16 16:08:46
1cd25ffd,add_to_cart,0.0,2026-05-16 16:08:47
029e1b56,purchase,948.08,2026-05-16 16:08:47
cd334d6d,purchase,1176.02,2026-05-16 16:08:49
a0ca9c85,product_view,0.0,2026-05-16 16:08:50
b5996da6,product_view,0.0,2026-05-16 16:08:51
a7c839f6,product_view,0.0,2026-05-16 16:08:52
4d95a9d8,purchase,814.84,2026-05-16 16:08:53
0244940e,login,0.0,2026-05-16 16:08:55
7257b064,product_view,0.0,2026-05-16 16:08:56
39787bbe,purchase,598.16,2026-05-16 16:08:58
6f47f91d,login,0.0,2026-05-16 16:08:59
ccf208f0,add_to_cart,0.0,2026-05-16 16:08:59
8adceb48,login,0.0,2026-05-16 16:09:00
7894ad6c,login,0.0,2026-05-16 16:09:02
7cfd4b91,add_to_cart,0.0,2026-05-16 16:09:04
decd42f9,add_to_cart,0.0,2026-05-16 16:09:06
0e79603b,login,0.0,2026-05-16 16:09:06
82c7424f,add_to_cart,0.0,2026-05-16 16:09:08
773b43ca,product_view,0.0,2026-05-16 16:09:10
718a4242,product_view,0.0,2026-05-16 16:09:12
5122f12f,product_view,0.0,2026-05-16 16:09:14
474196d0,login,0.0,2026-05-16 16:09:14
1469cac4,purchase,613.59,2026-05-16 16:09:15
390807ab,purchase,1354.17,2026-05-16 16:09:17
0e35db64,add_to_cart,0.0,2026-05-16 16:09:18
0f35514e,login,0.0,2026-05-16 16:09:20
5af57426,add_to_cart,0.0,2026-05-16 16:09:21
5ca2b110,purchase,130.84,2026-05-16 16:09:23
ec661fed,add_to_cart,0.0,2026-05-16 16:09:24
88f0ecea,product_view,0.0,2026-05-16 16:09:26
cc2bf54e,login,0.0,2026-05-16 16:09:27
f0cad31d,product_view,0.0,2026-05-16 16:09:29
0372340d,login,0.0,2026-05-16 16:09:31
1c76d36a,login,0.0,2026-05-16 16:09:32
718a4242,product_view,0.0,2026-05-16 16:09:33
eece0c5b,product_view,0.0,2026-05-16 16:09:34
414f4eda,add_to_cart,0.0,2026-05-16 16:09:35
a9db0fb4,login,0.0,2026-05-16 16:09:37
8ef15428,purchase,1430.33,2026-05-16 16:09:37
ef4eb386,product_view,0.0,2026-05-16 16:09:39
3cb4c96c,add_to_cart,0.0,2026-05-16 16:09:40
c305a6c9,purchase,1478.43,2026-05-16 16:09:41
054746de,product_view,0.0,2026-05-16 16:09:42
7f65fb10,add_to_cart,0.0,2026-05-16 16:09:44
22d38e57,purchase,901.93,2026-05-16 16:09:46
9c855ceb,login,0.0,2026-05-16 16:09:48
c186af47,purchase,589.77,2026-05-16 16:09:50
101f42ec,product_view,0.0,2026-05-16 16:09:51
7f0f8908,add_to_cart,0.0,2026-05-16 16:09:52
ab156625,product_view,0.0,2026-05-16 16:09:53
b4ce7aa5,login,0.0,2026-05-16 16:09:54
061f8ede,purchase,774.65,2026-05-16 16:09:55
ca7362aa,purchase,120.89,2026-05-16 16:09:57
4e0c9f40,purchase,341.18,2026-05-16 16:09:59
207e00a2,purchase,260.46,2026-05-16 16:09:59
1afb4f00,login,0.0,2026-05-16 16:10:01
9e2d131f,purchase,1346.55,2026-05-16 16:10:02
bc3c21a2,product_view,0.0,2026-05-16 16:10:02
1410b2a7,product_view,0.0,2026-05-16 16:10:03
e8c82cb0,product_view,0.0,2026-05-16 16:10:04
08ff1b74,purchase,954.96,2026-05-16 16:10:05
4fa019bc,product_view,0.0,2026-05-16 16:10:06
08329e9c,add_to_cart,0.0,2026-05-16 16:10:07
cc2bf54e,purchase,1014.46,2026-05-16 16:10:08
62c8081c,add_to_cart,0.0,2026-05-16 16:10:09
c9932758,add_to_cart,0.0,2026-05-16 16:10:10
82c7424f,purchase,89.73,2026-05-16 16:10:12
31153f80,login,0.0,2026-05-16 16:10:13
a8bed626,add_to_cart,0.0,2026-05-16 16:10:14
4b2645a0,purchase,1183.69,2026-05-16 16:10:16
bd5e7e70,add_to_cart,0.0,2026-05-16 16:10:17
bdd25d60,purchase,687.26,2026-05-16 16:10:19
84c35c8b,login,0.0,2026-05-16 16:10:20
54626749,add_to_cart,0.0,2026-05-16 16:10:21
a8bed626,purchase,698.32,2026-05-16 16:10:22
2ff5969d,add_to_cart,0.0,2026-05-16 16:10:24
70da7718,login,0.0,2026-05-16 16:10:26
a7d175e5,product_view,0.0,2026-05-16 16:10:28
74564671,product_view,0.0,2026-05-16 16:10:29
9e3b1f43,login,0.0,2026-05-16 16:10:30
a55f6d34,add_to_cart,0.0,2026-05-16 16:10:31
42b23774,login,0.0,2026-05-16 16:10:33
6c95a9c4,product_view,0.0,2026-05-16 16:10:34
04eee862,product_view,0.0,2026-05-16 16:10:36
eece0c5b,product_view,0.0,2026-05-16 16:10:37
06c09b0e,purchase,829.97,2026-05-16 16:10:38
d3e54d9a,product_view,0.0,2026-05-16 16:10:40
6781cf17,login,0.0,2026-05-16 16:10:42
ee875073,product_view,0.0,2026-05-16 16:10:44
a8a975cb,add_to_cart,0.0,2026-05-16 16:10:44
4fa019bc,login,0.0,2026-05-16 16:10:46
474196d0,product_view,0.0,2026-05-16 16:10:46
1c67430a,login,0.0,2026-05-16 16:10:47
65afb630,add_to_cart,0.0,2026-05-16 16:10:49
f47b5470,product_view,0.0,2026-05-16 16:10:51
fd07b268,login,0.0,2026-05-16 16:10:52
a6f64a29,purchase,1143.13,2026-05-16 16:10:52
65235f51,product_view,0.0,2026-05-16 16:10:54
63e56f5b,login,0.0,2026-05-16 16:10:55
93edde08,add_to_cart,0.0,2026-05-16 16:10:57
0f6c60be,add_to_cart,0.0,2026-05-16 16:10:59
b358b054,purchase,295.46,2026-05-16 16:11:00
17c43452,purchase,1347.04,2026-05-16 16:11:02
5fc95d85,login,0.0,2026-05-16 16:11:03
d2e2e470,add_to_cart,0.0,2026-05-16 16:11:04
2d846ba9,purchase,1462.31,2026-05-16 16:11:05
a9cce59d,login,0.0,2026-05-16 16:11:07
157b7fb0,product_view,0.0,2026-05-16 16:11:08
25365025,login,0.0,2026-05-16 16:11:09
299e2b30,purchase,410.09,2026-05-16 16:11:10
d64b4eaa,product_view,0.0,2026-05-16 16:11:11
27617cee,add_to_cart,0.0,2026-05-16 16:11:12
2ff5969d,product_view,0.0,2026-05-16 16:11:14
cbb6f5c8,product_view,0.0,2026-05-16 16:11:15
bff33080,product_view,0.0,2026-05-16 16:11:16
a65092ab,add_to_cart,0.0,2026-05-16 16:11:17
9576421f,add_to_cart,0.0,2026-05-16 16:11:18
31153f80,add_to_cart,0.0,2026-05-16 16:11:20
51bd0661,login,0.0,2026-05-16 16:11:21
71490ace,purchase,1050.06,2026-05-16 16:11:22
c305a6c9,add_to_cart,0.0,2026-05-16 16:11:23
ab2cf42c,login,0.0,2026-05-16 16:11:25
8ced8f12,add_to_cart,0.0,2026-05-16 16:11:26
1afb4f00,product_view,0.0,2026-05-16 16:11:28
1ea89a19,purchase,617.24,2026-05-16 16:11:28
bdd25d60,login,0.0,2026-05-16 16:11:30
a1465eaf,add_to_cart,0.0,2026-05-16 16:11:30
4ee8f0f3,add_to_cart,0.0,2026-05-16 16:11:31
56c195fa,add_to_cart,0.0,2026-05-16 16:11:32
7894ad6c,purchase,761.88,2026-05-16 16:11:33
3e0e7737,purchase,777.85,2026-05-16 16:11:35
e0be7000,login,0.0,2026-05-16 16:11:37
7371150f,purchase,37.27,2026-05-16 16:11:39
019c2935,add_to_cart,0.0,2026-05-16 16:11:40
812112b6,product_view,0.0,2026-05-16 16:11:41
cbdba6db,purchase,925.4,2026-05-16 16:11:42
3a34629c,login,0.0,2026-05-16 16:11:43
26c2eba2,login,0.0,2026-05-16 16:11:45
f8c6d4d1,login,0.0,2026-05-16 16:11:46
64de6fa4,purchase,1404.68,2026-05-16 16:11:48
f71043e9,add_to_cart,0.0,2026-05-16 16:11:50
74564671,product_view,0.0,2026-05-16 16:11:51
3a6cc547,product_view,0.0,2026-05-16 16:11:53
1f76a8be,login,0.0,2026-05-16 16:11:53
35d67e7d,add_to_cart,0.0,2026-05-16 16:11:54
a1465eaf,purchase,1351.95,2026-05-16 16:11:55
f92500c8,purchase,905.84,2026-05-16 16:11:57
